Name,Nationality,Position,Club,Overall Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age
Paul Guzman,Bangladesh,Defender,Crystal Palace,84,66,63,67,80,64,70,21
Christopher Hunter MD,Santos,Goalkeeper,PSG,79,72,70,69,75,55,77,35
Elizabeth Camacho,Georgia,Goalkeeper,Olympique Marseille,85,73,61,62,77,60,74,27
Donald Hoffman,Switzerland,Goalkeeper,Al-Rayyan,73,70,69,67,72,58,82,34
Jeremiah Rowland,Ivory Coast,Midfielder,Leipzig,83,72,69,80,69,54,71,28
Micaela Abraham Matos,Mexico,Defender,Chicago Fire,81,75,63,68,70,59,68,36
Katrina Simpson,Morocco,Forward,Al-Ahli,84,72,56,71,80,56,76,19
Philip Chambers,Bangladesh,Defender,Tottenham,83,65,68,75,78,57,70,31
Rembrandt Moschino,Italy,Defender,Al-Nassr,76,74,66,72,81,61,62,29
Kimberly White,Senegal,Defender,Abahani Limited,79,65,66,66,69,57,78,30
Pamela Lewis,Ivory Coast,Goalkeeper,OGC Nice,83,70,60,72,74,57,72,31
Erica Moreno,Egypt,Goalkeeper,Crystal Palace,82,74,64,67,74,66,79,31
Amelia Hodgson,England,Goalkeeper,Al-Sadd,84,80,62,63,76,58,78,21
Goran Volarević,Croatia,Defender,Al-Rayyan,82,70,57,76,74,56,68,34
Georgia Pope,England,Defender,Inter Milan,87,80,69,73,73,43,65,40
Univ.Prof. Steen Jacobsen,Denmark,Midfielder,Vissel Kobe,81,68,59,66,77,68,78,32
Mr Stewart Adams,England,Defender,Al-Sadd,82,68,62,80,74,67,80,34
Jose Wells,Northern Ireland,Defender,Real Madrid,81,74,58,64,77,58,67,36
Dennis Michael,Cameroon,Defender,Tottenham,83,65,75,67,81,62,63,35
Jacqueline Torres,Senegal,Goalkeeper,Watford,86,76,71,67,68,63,76,40
Sandra Stewart,Cameroon,Goalkeeper,Santos,80,72,57,73,79,68,70,31
Justin Farmer,Switzerland,Forward,OGC Nice,82,73,66,71,74,60,76,25
노도윤,South Korea,Defender,Villarreal,82,76,61,75,80,60,76,40
Maks Bandyk,Poland,Goalkeeper,Chittagong Abahani,80,70,72,69,76,65,67,33
Rolando Leonardi,Italy,Midfielder,PSG,86,74,63,70,80,59,66,24
Michael Clark,Nigeria,Forward,AC Milan,85,69,59,69,78,58,71,38
Sra. Laís Freitas,Brazil,Defender,Al-Ittihad,82,71,66,68,70,65,80,20
Jeffrey Reyes,Ecuador,Defender,LA Galaxy,79,79,58,75,77,61,76,20
Nancy Salinas,Scotland,Goalkeeper,OGC Nice,81,71,66,77,67,67,67,20
Jessica Hill,Kenya,Midfielder,PSG,83,75,72,65,79,58,69,25
Christopher Sharp,Austria,Forward,Rayo Vallecano,83,71,60,72,72,63,66,40
Leslie Crane,Ecuador,Goalkeeper,Udinese,80,73,59,75,74,60,69,22
Rachael Price,Northern Ireland,Goalkeeper,Fiorentina,87,75,55,72,75,57,76,37
Michelle Wright,Serbia,Goalkeeper,Fulham,80,75,69,67,73,60,83,30
Ms. Amy Brown,Morocco,Defender,Burnley,80,73,66,83,82,55,76,32
John Gilmore,Slovenia,Forward,Santos,84,70,66,78,76,56,70,25
Eva Nyström,Sweden,Goalkeeper,Udinese,78,74,62,69,81,60,69,39
Christian Hernandez,Norway,Midfielder,Newcastle United,80,75,56,76,77,52,79,30
Curtis Miller,Santos,Defender,Al-Sadd,80,76,62,65,72,57,64,38
Kenneth Farmer,USA,Midfielder,Atlético Madrid,79,73,63,73,69,50,74,25
Kristoffer Olsson,Sweden,Defender,Olympique Marseille,86,75,61,83,75,55,74,37
Birgitta Nygren,Sweden,Goalkeeper,AS Roma,82,73,62,75,67,59,76,39
Ulf Isaksson,Sweden,Midfielder,Al-Ahli,80,78,71,76,79,55,74,21
Univ.Prof. Ronnie Laursen,Denmark,Midfielder,Inter Milan,80,68,72,69,73,66,72,31
John Murray,Slovakia,Midfielder,Watford,83,71,69,80,77,65,73,39
Kristina Vranić,Croatia,Goalkeeper,Espanyol,88,72,66,66,70,64,70,18
Deanna Munoz,Bangladesh,Midfielder,Al-Ahli,81,71,62,80,71,66,80,21
David Borges,Portugal,Goalkeeper,Al-Ahli,77,69,63,65,72,67,72,23
Johanna de Smit,Netherlands,Goalkeeper,Arsenal,80,68,65,73,80,57,68,18
Nicole Pire,Belgium,Defender,Manchester United,78,62,63,71,76,58,67,33
Whitney Moyer,Kenya,Goalkeeper,Al-Rayyan,81,73,73,66,74,56,69,21
Emma Lambotte,Belgium,Forward,Wrexham,86,68,66,67,77,62,73,21
Mikael Lauridsen-Overgaard,Denmark,Midfielder,Roma,82,66,59,72,78,63,75,21
Abril Ortiz Bravo,Argentina,Forward,Roma,83,73,65,77,75,56,72,40
Hr Mads Møller,Denmark,Goalkeeper,Al-Sadd,76,72,71,71,79,58,71,29
Sarah Miller,Kenya,Goalkeeper,Al-Sadd,81,69,68,68,77,54,73,35
Joso Tušek,Croatia,Goalkeeper,Manchester United,82,73,68,74,75,62,73,20
Brayan Vargas,Brazil,Defender,Napoli,83,77,59,69,81,62,68,19
Sabrina Owens,Morocco,Midfielder,Al-Nassr,81,73,60,75,87,59,77,28
Wendy Hernandez,Ecuador,Defender,Real Madrid,81,72,63,63,73,55,76,19
Christopher Johnston,Egypt,Midfielder,Barcelona,80,70,67,72,77,59,73,34
Richard Stevenson,Republic of Ireland,Goalkeeper,Udinese,81,74,61,64,72,59,75,21
Stacy Morales,Nigeria,Forward,Everton,82,67,62,76,76,66,75,31
Benjamin Milena Gonzalez Martinez,Argentina,Midfielder,Trabzonspor,79,71,59,72,76,62,77,37
Krystian Bek,Poland,Goalkeeper,Napoli,79,66,64,78,75,53,68,37
Rocío Zeferino Mena,Mexico,Goalkeeper,Benfica,80,72,60,78,70,61,79,30
Suzanne Guibert-Chartier,France,Forward,Watford,81,79,61,72,71,58,72,20
Roberto Schaefer,Serbia,Defender,Manchester United,83,74,57,64,71,63,67,22
Michelle Ray,Kenya,Defender,Crystal Palace,86,66,61,80,75,56,68,37
Charles Parker,Republic of Ireland,Defender,Sevilla,85,78,58,71,75,55,70,30
Joseph Blackburn,Senegal,Defender,Arsenal,75,75,61,69,76,59,75,20
Cameron Bailey,Santos,Forward,Borussia Mönchengladbach,77,67,60,73,77,51,68,27
Jayden Tirie,Netherlands,Defender,Montreal Impact,84,75,64,70,80,65,66,23
Víctor Emilio Ferrer,Mexico,Defender,Bayern Munich,82,71,67,73,75,62,79,18
Mateo Dylan Ezequiel Martinez Ayala,Argentina,Forward,Fulham,85,73,59,62,73,67,68,28
Amelia Jacobs,Netherlands,Defender,Espanyol,79,76,64,70,72,64,76,25
Ika Maraš,Croatia,Goalkeeper,Grêmio,80,77,70,74,74,63,83,34
Sean Dickerson,Senegal,Goalkeeper,Al-Ittihad,80,71,66,73,78,55,75,35
Olivia Tomàs Ruiz,Argentina,Defender,Olympique Lyon,82,75,70,71,75,48,65,18
James Olsen,Senegal,Midfielder,Real Sociedad,82,75,66,65,72,56,77,35
Youssef Kunen,Netherlands,Midfielder,Espanyol,76,69,71,71,64,46,74,23
Lucienne Klein,Belgium,Defender,Wolverhampton,86,61,68,73,72,51,73,39
Reyes Gallego Carreño,Spain,Midfielder,Real Madrid,81,75,61,74,85,59,72,18
Natalie Howard,Slovenia,Goalkeeper,Bayern Munich,80,76,60,77,75,56,76,26
Jennifer Clark MD,Scotland,Goalkeeper,Fiorentina,80,67,65,71,82,59,79,39
Karen Hicks,Switzerland,Goalkeeper,OGC Nice,79,82,69,71,82,58,76,22
Agnès Robert,France,Forward,Olympique Marseille,83,76,64,82,69,59,84,37
Isaac Collins,Senegal,Defender,Leipzig,85,73,67,71,70,60,76,40
Tracy Pearson,Georgia,Defender,Al-Rayyan,80,72,76,78,79,55,67,34
Karol Polnik,Poland,Forward,Wolverhampton,85,80,64,75,75,66,76,22
Gordon Hawkins,England,Midfielder,Juventus,78,68,59,76,76,59,73,35
Victor Blair,Egypt,Midfielder,Flamengo,81,73,60,68,78,57,67,38
Angelica Faust,Germany,Defender,Flamengo,79,67,68,66,79,55,73,35
Cassandra Smith,Northern Ireland,Defender,Arsenal,81,78,67,68,71,62,70,28
Brenda Harrison,Santos,Midfielder,Barcelona,85,72,64,69,72,59,70,26
Kyle Clark,Switzerland,Defender,RB Leipzig,77,79,73,81,71,56,81,29
Snježana Stolnik,Croatia,Forward,Leipzig,85,72,61,79,71,60,61,29
Christopher Thompson,Nigeria,Defender,Bayer Leverkusen,86,71,71,83,72,61,71,37
Traci Harmon,Uruguay,Midfielder,Al-Ittihad,80,66,63,79,70,60,76,37
Catherine Koch,Kenya,Goalkeeper,Wrexham,83,66,67,73,77,65,74,38
Christophe Jacques,Belgium,Goalkeeper,PSG,85,74,68,74,70,48,74,40
Johnny Schou-Carlsen,Denmark,Goalkeeper,Everton,82,65,62,76,62,65,74,22
Dr Graeme Potter,England,Goalkeeper,Bayern Munich,77,75,61,78,70,61,65,33
Erin Oneal,Cameroon,Goalkeeper,Newcastle United,81,70,65,74,78,57,82,39
Shane Mcintyre,Ivory Coast,Goalkeeper,Grêmio,80,73,62,73,78,54,69,37
James George,Nigeria,Midfielder,Galatasaray,85,78,77,79,65,52,69,27
Brooke Smith,Cameroon,Defender,Liverpool,80,67,68,78,75,51,71,39
Catalina Constantino Gomez,Argentina,Midfielder,Flamengo,88,74,65,67,71,53,79,36
Susan Legros,France,Forward,Newcastle United,82,73,55,66,72,54,73,20
박미정,South Korea,Forward,Tottenham,78,74,66,74,78,67,67,33
Mallory Collins,Republic of Ireland,Midfielder,Everton,77,69,56,74,79,65,74,23
Steven Anderson,Serbia,Forward,Leeds United,77,73,59,69,80,56,80,30
Mtro. Sessa Caldera,Mexico,Defender,Fulham,80,71,65,71,70,59,78,21
Paul Christian,Cameroon,Goalkeeper,Al-Hilal,78,75,69,73,71,53,71,33
Daniel Anderson,Senegal,Forward,Rayo Vallecano,80,76,63,66,76,65,83,32
Courtney Miller,Scotland,Goalkeeper,Villarreal,78,73,61,76,70,43,64,22
Jared Eaton,Switzerland,Forward,Al-Hilal,78,65,65,81,78,59,81,27
Darrell Lopez,Norway,Forward,Al-Nassr,81,65,65,69,78,54,66,20
Erin Dickson,Slovenia,Forward,Sheikh Jamal Dhanmondi Club,78,64,60,77,72,58,76,30
Kelly Ray,Ecuador,Midfielder,Inter Miami,81,71,60,67,81,54,78,36
Olivia Anderson,Morocco,Defender,Aston Villa,84,77,64,67,76,67,72,28
Mariusz Stąpor,Poland,Forward,Al-Rayyan,89,83,65,68,70,60,74,29
Arthur Gabriel Souza,Brazil,Goalkeeper,Manchester City,85,72,69,71,81,67,73,29
Núria Anjos,Portugal,Goalkeeper,PSV Eindhoven,81,72,68,67,77,49,67,34
Veronica Smith,Santos,Midfielder,Villarreal,84,77,66,70,75,53,78,37
Sara Young,Serbia,Defender,Watford,80,70,64,76,73,56,78,30
Göran Larsson,Sweden,Midfielder,Manchester City,85,74,62,70,78,62,70,33
최예원,South Korea,Goalkeeper,Watford,83,58,67,67,74,61,74,31
Marc Gardner,Austria,Defender,Grêmio,80,80,62,69,73,62,74,26
Douglas Mack,Egypt,Goalkeeper,Retired,83,74,65,78,77,59,76,37
Gabrielle Stafford,Kenya,Defender,RB Leipzig,78,81,72,78,77,63,81,20
Robert Freeman,USA,Goalkeeper,Atletico Madrid,87,68,69,74,68,55,76,31
Mary Barnett,Morocco,Defender,Bayer Leverkusen,79,83,57,68,86,56,62,19
Joseph Brown,Republic of Ireland,Midfielder,Liverpool,80,78,71,68,70,53,73,37
Johanna Blom,Netherlands,Forward,Olympique Lyon,85,79,67,78,70,58,72,21
Beth Perez,Cameroon,Forward,Fiorentina,84,76,73,64,80,60,71,20
Brian Pierce,Norway,Midfielder,Al-Sadd,78,74,76,78,67,58,68,34
Shane Parker,Senegal,Forward,Liverpool,76,73,63,73,69,62,65,34
Paola Bramante,Italy,Forward,Real Madrid,85,69,64,70,79,62,70,27
Alejandra Ibarra Molano,Colombia,Midfielder,Fiorentina,84,75,67,72,82,62,75,36
David de la Diallo,France,Defender,Aston Villa,83,69,67,78,69,52,69,35
Gaetano Nitto,Italy,Midfielder,Real Betis,76,73,58,77,83,54,72,25
Sylwia Łuckiewicz,Poland,Defender,Al-Ahli,80,70,62,71,77,54,65,22
Amber Patel,Ivory Coast,Forward,Borussia Mönchengladbach,81,68,65,72,68,58,71,32
Melissa Osborn,Switzerland,Goalkeeper,Liverpool,82,76,60,61,75,67,73,25
Julien Leroux,France,Midfielder,Roma,88,65,64,66,75,62,75,21
Enzo Porto,Brazil,Goalkeeper,Fulham,86,79,65,65,71,52,83,38
Vítor do Cardoso,Portugal,Goalkeeper,AC Milan,84,72,71,80,84,58,56,18
Tina Coleman,Ecuador,Midfielder,Real Sociedad,83,75,62,70,69,48,84,29
Anthony Costa,USA,Forward,Newcastle United,80,62,64,71,76,65,74,35
James Boyd,Guinea,Defender,Ajax,86,73,63,76,80,55,69,38
Luciana Miranda,Portugal,Goalkeeper,Espanyol,79,70,80,66,80,58,71,36
Nathan Evans,Serbia,Defender,AC Milan,76,81,74,75,77,53,74,26
Maria Čižmešija,Croatia,Forward,Flamengo,77,77,65,69,80,62,67,23
Susanna Mazzacurati,Italy,Midfielder,Chicago Fire,80,70,66,69,71,56,76,26
Nicholas Wheeler,Republic of Ireland,Defender,Sheikh Jamal Dhanmondi Club,85,77,66,75,81,60,77,34
María Adriana Sánchez,Colombia,Defender,AC Milan,84,69,60,78,72,57,72,31
Nidia Arévalo Angarita,Colombia,Defender,Napoli,86,66,61,74,69,56,80,19
Louis Leroux-Imbert,France,Defender,Burnley,78,64,61,74,81,51,77,29
Kevin Wright,Cameroon,Goalkeeper,Trabzonspor,84,68,68,71,71,57,66,26
Darrell Rush,Georgia,Goalkeeper,Bayer Leverkusen,82,69,64,78,77,53,73,26
James Barber,Republic of Ireland,Goalkeeper,Tottenham,81,74,64,74,77,52,71,30
Javiera Morales Vásquez,Chile,Defender,Inter Miami,80,74,64,71,74,63,68,39
Mark Meyer,USA,Forward,Borussia Mönchengladbach,83,67,66,70,70,58,74,36
Patricia George,Northern Ireland,Forward,Montreal Impact,81,71,59,73,78,55,75,35
Jeffrey Short,Serbia,Midfielder,Saif SC,82,76,66,74,69,58,62,31
Dr(a). Felipe Lucero,Argentina,Goalkeeper,Atletico Madrid,84,73,66,71,84,52,76,34
Michelle Hutchinson,Morocco,Goalkeeper,Atlético Madrid,84,69,63,78,65,68,72,23
Laurent Adam,France,Forward,Inter Milan,82,68,64,73,81,52,85,25
Ravi Lucca Lima,Brazil,Defender,Nottingham Forest,75,68,62,67,73,55,77,19
Sherri Holt,Ecuador,Midfielder,Wolverhampton,81,81,61,72,84,61,67,40
Olivia Walker,Scotland,Midfielder,Inter Milan,80,77,66,71,70,62,73,24
Arsenio Pareja Hernández,Spain,Goalkeeper,AS Roma,80,60,68,69,75,60,72,28
Sara Matias,Portugal,Goalkeeper,Everton,83,68,60,78,82,61,68,21
Mark Grimes,Bangladesh,Midfielder,Ajax,83,81,62,75,81,65,66,26
Nathaniel Hill,Kenya,Forward,Manchester United,74,70,58,71,83,45,75,40
Jordan Barnes,Egypt,Forward,Liverpool,86,83,60,72,75,64,77,25
Victoria Miller,USA,Midfielder,Al-Rayyan,80,77,68,71,73,62,82,33
Patrick Berger,France,Midfielder,Real Betis,84,68,67,70,73,54,77,19
Melissa Gangemi,Italy,Goalkeeper,Fiorentina,82,75,61,58,66,58,81,39
Cezary Uliasz,Poland,Goalkeeper,Udinese,78,69,58,79,72,61,68,34
Lucas Miranda,Argentina,Defender,Olympique Lyon,82,74,61,65,78,58,69,31
Julien Simonis,Belgium,Midfielder,Leicester City,82,76,68,67,76,63,68,37
Tiffany Johnston,Ivory Coast,Forward,Chicago Fire,85,75,69,70,82,58,81,26
Phillip Ward,Bangladesh,Defender,Manchester United,84,72,69,67,76,58,78,20
Dipl.-Ing. Mina Weinhage,Germany,Defender,Liverpool,84,66,69,74,73,53,75,37
Matthew Alexander,Nigeria,Forward,Borussia Mönchengladbach,78,79,64,77,69,53,76,26
Scott Johnson,Republic of Ireland,Goalkeeper,Wrexham,79,71,67,76,79,58,71,34
Robert Garner,Kenya,Forward,Everton,83,75,62,76,74,55,69,40
Martin Barać,Croatia,Defender,Fulham,81,72,62,68,77,58,71,28
Tiziano Benjamin Leiva,Argentina,Forward,Abahani Limited,83,74,66,74,74,62,69,33
Thomas Pham,Slovakia,Forward,Real Betis,77,64,62,75,81,61,69,22
Erika Lima,Portugal,Goalkeeper,Grêmio,78,68,65,63,73,68,71,31
Hans Svensson,Sweden,Forward,Abahani Limited,80,74,60,68,74,62,69,23
Luca Anjos-Henriques,Portugal,Midfielder,Fulham,80,73,73,70,74,63,70,30
Damien Scott,England,Goalkeeper,Real Madrid,82,68,63,69,68,57,75,26
Riley Clark,Cameroon,Goalkeeper,Bayer Leverkusen,74,76,67,70,77,59,71,26
Gregory Ochoa,Ivory Coast,Forward,Borussia Mönchengladbach,82,71,66,75,67,57,73,27
Shannon Cook,USA,Forward,Real Betis,79,73,61,69,68,59,78,24
Natalie Huff,USA,Defender,Inter Milan,89,75,60,79,75,58,76,21
Ronald Garcia,Austria,Goalkeeper,Udinese,82,77,69,73,67,66,72,19
Olga Szmelter,Poland,Goalkeeper,Atlético Madrid,80,68,66,72,71,59,75,20
Margaret Sherman,Ivory Coast,Defender,Atlético Madrid,81,76,66,64,73,50,81,35
Scott Washington,Slovenia,Defender,Flamengo,78,82,65,63,65,55,82,35
Rosenda Río Pardo,Spain,Goalkeeper,LA Galaxy,75,78,60,73,69,60,74,30
Cesar Moraleda Alcázar,Spain,Forward,Aston Villa,83,67,65,72,75,61,76,38
Kevin Stout,Senegal,Goalkeeper,Fiorentina,77,67,63,72,72,72,61,29
Robert Rašeta,Croatia,Defender,Sevilla,81,69,75,77,69,58,72,36
Jennifer Dominguez,Slovakia,Midfielder,Napoli,80,76,60,76,74,51,72,23
Brandon Harper,Kenya,Goalkeeper,Chicago Fire,82,75,65,75,73,60,73,21
Jennifer Baker,Senegal,Goalkeeper,Real Sociedad,80,71,61,67,75,66,67,19
Prof. Lotte Jepsen,Denmark,Goalkeeper,Atletico Madrid,86,72,66,73,74,60,63,32
Thomas Garcia,Kenya,Defender,Crystal Palace,81,68,56,76,87,57,70,38
Océane Romain Duchesne,Belgium,Goalkeeper,Benfica,81,78,64,75,73,53,82,20
Angela Key,Santos,Goalkeeper,Olympique Lyon,75,73,66,71,74,52,76,30
Andrew Kelley,Egypt,Forward,Manchester City,84,66,69,73,75,55,78,18
Denise Simpson,Switzerland,Defender,OGC Nice,88,75,70,75,74,49,76,20
Dr. Tassilo Hecker MBA.,Germany,Forward,Roma,78,66,68,67,79,68,79,27
Cindy Smith,Republic of Ireland,Midfielder,Chelsea,82,77,63,66,78,58,76,39
Anita Starčević,Croatia,Midfielder,Real Sociedad,84,68,70,73,78,53,72,34
Luana Ramirez,Argentina,Forward,Al-Sadd,80,69,66,73,80,56,70,36
Laura Gutierrez,Serbia,Goalkeeper,Olympique Lyon,86,70,62,70,73,56,77,28
Raffaella Piazzi,Italy,Defender,Retired,80,76,68,71,76,57,70,34
Júlia-Vera Figueiredo,Portugal,Midfielder,Montreal Impact,75,73,59,77,79,52,76,20
Vicki Lara,Algeria,Goalkeeper,Leicester City,81,72,72,62,73,56,78,21
Jacob Mccullough,Switzerland,Goalkeeper,OGC Nice,81,73,64,82,75,60,77,39
Feliciano del Benítez,Spain,Goalkeeper,Roma,81,65,67,74,79,59,78,25
Brandy Heath,Egypt,Goalkeeper,OGC Nice,79,76,61,67,77,62,85,23
김옥자,South Korea,Midfielder,Grêmio,81,73,73,77,84,59,73,30
나종수,South Korea,Forward,Al-Ahli,85,77,67,74,74,61,72,38
Karen Edwards,Senegal,Forward,Manchester City,82,63,75,69,74,58,64,32
Federica Navarria,Italy,Goalkeeper,AS Roma,84,69,60,73,74,58,77,23
Maria Spencer,Norway,Midfielder,AC Milan,82,79,66,70,78,64,78,28
Mrs. Laura Brown,Nigeria,Defender,Leeds United,80,79,63,74,85,65,75,39
Kathleen Graham,Norway,Goalkeeper,Sevilla,86,72,64,68,80,57,77,34
María Cardona Bernal,Colombia,Goalkeeper,Abahani Limited,81,62,69,77,76,58,73,37
Karen Mccarthy,Georgia,Forward,Galatasaray,83,72,68,71,74,58,74,24
Hector Blevins,Bangladesh,Goalkeeper,Fiorentina,81,70,61,83,69,67,69,25
Franjo Jerković,Croatia,Defender,Fulham,87,60,68,83,73,51,80,18
Monica Reeves,USA,Forward,Santos,88,68,67,61,74,59,76,29
Lorenzo Coronel,Argentina,Forward,Chicago Fire,82,77,63,76,72,63,83,29
Valentina Hinić,Croatia,Goalkeeper,Flamengo,78,73,56,68,74,62,68,33
Emily Terry,Norway,Defender,Galatasaray,83,69,63,72,72,57,75,28
David Lindsey,Slovenia,Forward,Udinese,80,72,55,76,80,62,75,40
Jennifer Miranda,Nigeria,Midfielder,Wrexham,86,72,67,74,75,55,72,26
Laurie Huffman,Morocco,Forward,Wrexham,77,69,59,70,78,60,70,34
Amy Webster,Republic of Ireland,Defender,PSG,82,75,70,75,73,55,79,26
Wojciech Szkaradek,Poland,Defender,Al-Rayyan,85,69,61,65,74,60,71,24
William Ayala,Senegal,Forward,Manchester City,85,77,68,71,71,53,78,26
Sara Johnson DVM,Kenya,Forward,Real Betis,81,65,66,70,71,63,78,26
Evelyn Davis,USA,Midfielder,Espanyol,83,68,65,77,74,58,61,26
Michael Jennings,Morocco,Midfielder,Montreal Impact,84,74,64,67,75,58,61,28
Eduardo Ortega Sanabria,Colombia,Defender,Burnley,78,67,68,64,75,52,73,32
Herr Gerold Klapp,Germany,Defender,Wrexham,80,73,57,77,71,64,79,28
Puccio Grifeo,Italy,Defender,Fulham,90,77,63,78,76,67,77,33
Mr. James Perez DVM,Slovakia,Midfielder,Abahani Limited,79,80,69,76,74,53,78,38
Gina Walton,Ivory Coast,Defender,Barcelona,83,84,62,65,79,42,74,28
Alicia Obrien,Austria,Goalkeeper,Bayern Munich,84,70,63,66,74,62,78,31
Chloe Winter,England,Midfielder,Al-Hilal,82,78,65,68,70,53,72,18
Mrs. Erin Torres,Northern Ireland,Forward,Inter Miami,83,68,66,67,68,57,75,32
Laura Brooks,Slovenia,Goalkeeper,Barcelona,81,74,62,72,70,48,74,40
Emmanuel Roche,France,Defender,Sevilla,82,74,70,76,79,56,74,18
Zoé Vidal de la Barre,France,Defender,Espanyol,82,66,60,68,76,55,69,19
Ties Kerkhof,Netherlands,Forward,Borussia Mönchengladbach,84,75,62,78,73,58,63,35
Goran Galešić,Croatia,Midfielder,Manchester United,83,69,55,71,80,61,73,18
Michelle Hobbs,Ivory Coast,Forward,PSV Eindhoven,88,72,57,76,67,59,86,25
Charles Fuentes,Georgia,Goalkeeper,Montreal Impact,83,67,73,74,71,61,65,32
Thierry Morel,France,Defender,Sheikh Jamal Dhanmondi Club,79,66,65,67,76,60,77,35
Stacy Leon,Northern Ireland,Midfielder,Roma,82,69,57,75,71,61,76,37
Timothy Donovan,Cameroon,Defender,Trabzonspor,82,68,69,72,75,58,75,23
Michael Lawrence,Kenya,Defender,Wolverhampton,79,80,73,75,83,57,71,37
Brett Lee,Norway,Forward,Sheikh Jamal Dhanmondi Club,79,68,60,73,78,57,77,40
Miguel Aguilera Correa,Chile,Midfielder,Bayer Leverkusen,82,72,65,74,81,67,78,23
Rachel Raymond,Georgia,Goalkeeper,AS Roma,77,79,67,76,82,48,77,37
Ana Sanchez,USA,Goalkeeper,Al-Ittihad,82,80,59,77,78,58,67,40
Giel van Tours,Netherlands,Forward,Bayern Munich,74,68,62,73,65,47,66,35
Jared Howard,Ivory Coast,Defender,Atletico Madrid,82,72,65,65,74,61,74,23
Tammy Cochran,Guinea,Goalkeeper,Leipzig,83,81,56,65,81,61,72,19
Beatriz Moreira,Brazil,Midfielder,Burnley,85,66,75,73,80,48,75,40
Matthew Buck,Switzerland,Forward,Leeds United,86,73,68,67,73,61,78,23
Michaela Boyd,Kenya,Goalkeeper,Newcastle United,73,73,60,74,74,58,69,24
Maria Campbell,Slovakia,Forward,PSG,82,74,70,69,66,45,67,35
Phillip Carter,Cameroon,Goalkeeper,Galatasaray,85,69,68,68,72,59,73,21
Mariane Guerra,Brazil,Defender,PSG,83,69,67,66,74,57,77,20
Bradley Johnson,Republic of Ireland,Goalkeeper,OGC Nice,83,60,61,75,76,60,81,22
Justin Lynch,Scotland,Defender,Flamengo,77,67,66,64,72,65,78,24
Willie Townsend,Georgia,Goalkeeper,Retired,84,66,55,65,82,56,82,33
Bruno Gonzalez Leiva,Argentina,Defender,PSV Eindhoven,82,65,80,68,81,55,75,23
Vitor Hugo Cavalcanti,Brazil,Goalkeeper,AS Roma,84,71,69,69,67,67,71,28
Luara Sousa,Brazil,Forward,PSV Eindhoven,82,77,61,71,75,63,72,20
Mateo Benjamin Gonzalez Sanchez,Argentina,Goalkeeper,Fulham,83,79,62,72,74,48,79,19
Luiz Gustavo Nascimento,Brazil,Midfielder,Watford,79,70,61,72,75,59,71,20
Roger Russo,Switzerland,Defender,Bayern Munich,77,72,62,70,75,63,76,19
Dr. Lene Carlsen,Denmark,Goalkeeper,Benfica,81,79,75,75,81,66,64,19
Tycho Miner,Netherlands,Forward,Trabzonspor,86,83,69,63,81,51,80,34
Lucas Coelho,Portugal,Goalkeeper,Al-Ahli,85,74,73,68,74,57,70,38
María Fuentes Castillo,Chile,Forward,Aston Villa,88,78,65,78,75,63,82,24
Alexis Weeks,Santos,Forward,Liverpool,81,71,66,75,70,64,76,26
Vinicio Carnero,Spain,Midfielder,Atletico Madrid,78,78,58,66,79,53,74,29
Alexander Eriksson,Sweden,Forward,Olympique Lyon,81,74,72,78,69,59,78,35
Sandra Joyce,Morocco,Midfielder,Ajax,81,76,65,79,85,59,78,25
Dr. Jacqueline Monroe,Slovakia,Goalkeeper,Napoli,83,71,60,73,77,49,66,34
Charles Sanchez,Serbia,Goalkeeper,Napoli,79,79,69,78,80,64,67,34
Sonia Henderson,Norway,Defender,Al-Rayyan,78,77,68,75,67,63,78,28
Rose-Marie Leroy,Belgium,Forward,Everton,83,69,71,73,74,67,69,27
Shawn Doyle,Cameroon,Goalkeeper,Al-Ahli,85,72,67,69,76,63,75,37
Jon Thorsen-Nielsen,Denmark,Goalkeeper,Olympique Lyon,88,70,57,74,75,56,76,38
Jason Ramirez,Republic of Ireland,Goalkeeper,Leeds United,79,71,59,75,70,53,75,37
June Smith,England,Midfielder,Leeds United,82,69,68,66,70,59,80,34
Michael Williams,Norway,Midfielder,Olympique Lyon,80,75,65,67,76,55,81,32
Betty Norris,Guinea,Midfielder,Al-Ahli,82,76,76,67,81,52,77,30
Teodoro Carrero Carrillo,Mexico,Forward,Wolverhampton,82,70,67,71,78,57,69,21
Samuel Azevedo,Brazil,Forward,Flamengo,83,77,74,69,78,58,70,38
Garrett Harding,Republic of Ireland,Forward,Napoli,82,79,61,83,76,60,79,20
Michael Arias,Switzerland,Forward,PSG,84,71,74,70,70,65,68,40
Ryszard Jałowiec,Poland,Midfielder,Espanyol,83,80,62,77,74,58,79,39
Gert Larsson,Sweden,Goalkeeper,AS Roma,80,71,64,76,81,60,67,33
Bryan Carson,Kenya,Forward,Atletico Madrid,82,83,57,78,84,50,68,18
Maria Guadalupe Lautaro Benjamin Aguirre,Argentina,Goalkeeper,Santos,84,70,67,70,76,68,78,25
Zachary Harrison,Northern Ireland,Defender,Espanyol,81,76,66,76,78,63,76,34
Astrid Andersson,Sweden,Forward,Manchester United,79,74,63,76,81,58,78,35
Bradley Steele,Nigeria,Midfielder,OGC Nice,84,72,66,74,75,58,73,37
